NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
FBXO44	1	ENSMUSG00000029001	
NPAS2	1	ENSMUSG00000026077	
FBXO41	1	ENSMUSG00000047013	
NPAS3	1	ENSMUSG00000021010	
FBXO42	1	ENSMUSG00000028920	
FBXO40	1	ENSMUSG00000047746	
MBIP	1	ENSMUSG00000021028	
BMF	1	ENSMUSG00000040093	
NEK8	1	ENSMUSG00000017405	
NEK9	1	ENSMUSG00000034290	
KCNF1	1	ENSMUSG00000051726	
SDF2L1	1	ENSMUSG00000022769	
NEK4	1	ENSMUSG00000021918	
RASL10A	1	ENSMUSG00000034209	
RASL10B	1	ENSMUSG00000020684	
NEK5	1	ENSMUSG00000037738	
NEK6	1	ENSMUSG00000026749	
TNFRSF9	1	ENSMUSG00000028965	
FBXO38	1	ENSMUSG00000042211	
NEK7	1	ENSMUSG00000026393	
STYX	2	ENSMUSG00000053205:ENSMUSG00000071748	
HTR1D	1	ENSMUSG00000070687	
FBXO36	1	ENSMUSG00000073633	
FBXO34	1	ENSMUSG00000037536	
FBXO32	1	ENSMUSG00000022358	
BMX	1	ENSMUSG00000031377	
C6orf15	1	ENSMUSG00000039269	
FBXO33	1	ENSMUSG00000035329	
FBXO30	1	ENSMUSG00000047648	
FAM90A1	1	ENSMUSG00000043549	
FBXO31	1	ENSMUSG00000052934	
DRAP1	1	ENSMUSG00000024914	
VNN3P	1	ENSMUSG00000020010	
MNAT1	1	ENSMUSG00000021103	
SLC49A4	1	ENSMUSG00000022848	
SLC49A3	1	ENSMUSG00000029490	
KCNK5	1	ENSMUSG00000023243	
BCAR3	1	ENSMUSG00000028121	
PIWIL2	1	ENSMUSG00000033644	
KCNK6	1	ENSMUSG00000046410	
KCNK7	1	ENSMUSG00000024936	
ALAS2	1	ENSMUSG00000025270	
PIWIL4	1	ENSMUSG00000036912	
ALAS1	1	ENSMUSG00000032786	
ONECUT2	1	ENSMUSG00000045991	
ONECUT3	1	ENSMUSG00000045518	
HTR2B	1	ENSMUSG00000026228	
PPWD1	1	ENSMUSG00000021713	
HTR2A	1	ENSMUSG00000034997	
NENF	1	ENSMUSG00000037499	
TNFSF13B	1	ENSMUSG00000031497	
BOC	1	ENSMUSG00000022687	
SPDL1	1	ENSMUSG00000069910	
NEO1	1	ENSMUSG00000032340	
BCAS2	1	ENSMUSG00000005687	
BCAS1	1	ENSMUSG00000013523	
BOK	1	ENSMUSG00000026278	
SLC36A1	1	ENSMUSG00000020261	
BCAS3	1	ENSMUSG00000059439	
SLC36A2	1	ENSMUSG00000020264	
PIANP	1	ENSMUSG00000030329	
VPS13C	1	ENSMUSG00000035284	
VPS13D	1	ENSMUSG00000020220	
DHPS	1	ENSMUSG00000060038	
VPS13A	1	ENSMUSG00000046230	
VPS13B	1	ENSMUSG00000037646	
RABGGTB	1	ENSMUSG00000038975	
RABGGTA	1	ENSMUSG00000040472	
NEMF	1	ENSMUSG00000020982	
C1D	1	ENSMUSG00000000581	
BCAT1	1	ENSMUSG00000030268	
BCAT2	1	ENSMUSG00000030826	
C1S	2	ENSMUSG00000079343:ENSMUSG00000038521	
C1R	1	ENSMUSG00000055172	
LRTM2	1	ENSMUSG00000055003	
LENG9	1	ENSMUSG00000043432	
LENG8	1	ENSMUSG00000035545	
U2AF1	1	ENSMUSG00000061613	
IL2RG	1	ENSMUSG00000031304	
DRAM1	1	ENSMUSG00000020057	
U2AF2	1	ENSMUSG00000030435	
AWAT2	1	ENSMUSG00000031220	
DRAM2	1	ENSMUSG00000027900	
TSPOAP1	1	ENSMUSG00000034156	
BBLN	1	ENSMUSG00000039195	
KCNJ1	1	ENSMUSG00000041248	
SLC36A4	1	ENSMUSG00000043885	
KCNJ2	1	ENSMUSG00000041695	
KCNJ3	1	ENSMUSG00000026824	
KCNJ4	1	ENSMUSG00000044216	
KCNJ5	1	ENSMUSG00000032034	
KCNJ6	1	ENSMUSG00000043301	
KCNJ8	1	ENSMUSG00000030247	
GPKOW	1	ENSMUSG00000031148	
KCNJ9	1	ENSMUSG00000038026	
TRDJ3	1	ENSMUSG00000076871	
GSTZ1	1	ENSMUSG00000021033	
IL2RA	1	ENSMUSG00000026770	
IL2RB	1	ENSMUSG00000068227	
KCNK1	1	ENSMUSG00000033998	
KCNK2	1	ENSMUSG00000037624	
BCAR1	1	ENSMUSG00000031955	
KCNK3	1	ENSMUSG00000049265	
KCNK4	1	ENSMUSG00000024957	
SLC23A3	1	ENSMUSG00000026205	
SLC23A2	1	ENSMUSG00000027340	
CERK	1	ENSMUSG00000035891	
SLC23A1	1	ENSMUSG00000024354	
LGALSL	1	ENSMUSG00000042363	
CCP110	1	ENSMUSG00000033904	
PEX26	1	ENSMUSG00000067825	
LGALS4	1	ENSMUSG00000053964	
C4B	1	ENSMUSG00000073418	
LGALS3	1	ENSMUSG00000050335	
LGALS2	1	ENSMUSG00000043501	
IL36A	1	ENSMUSG00000026984	
LGALS1	1	ENSMUSG00000068220	
IL36B	1	ENSMUSG00000026985	
MCIDAS	1	ENSMUSG00000074651	
BSG	1	ENSMUSG00000023175	
LGALS9	1	ENSMUSG00000001123	
ATXN7L1	1	ENSMUSG00000020564	
BSN	1	ENSMUSG00000032589	
ATXN7L2	1	ENSMUSG00000048997	
LGALS8	1	ENSMUSG00000057554	
LGALS7	1	ENSMUSG00000053522	
ATXN7L3	1	ENSMUSG00000059995	
LIMCH1	1	ENSMUSG00000037736	
BSX	1	ENSMUSG00000054360	
GOLPH3L	1	ENSMUSG00000046519	
BTC	1	ENSMUSG00000082361	
BTD	1	ENSMUSG00000021900	
CFDP1	1	ENSMUSG00000031954	
SOAT1	1	ENSMUSG00000026600	
SOAT2	1	ENSMUSG00000023045	
CRISPLD2	1	ENSMUSG00000031825	
KCNQ1	1	ENSMUSG00000009545	
SUB1	1	ENSMUSG00000022205	
NINJ2	1	ENSMUSG00000041377	
KCNQ2	1	ENSMUSG00000016346	
NINJ1	1	ENSMUSG00000037966	
BTK	1	ENSMUSG00000031264	
KCNQ4	1	ENSMUSG00000028631	
CES3	2	ENSMUSG00000062181:ENSMUSG00000069922	
CES2	7	ENSMUSG00000055730:ENSMUSG00000061825:ENSMUSG00000062826:ENSMUSG00000050097:ENSMUSG00000031877:ENSMUSG00000031886:ENSMUSG00000091813	
CES1	7	ENSMUSG00000057400:ENSMUSG00000056973:ENSMUSG00000061959:ENSMUSG00000074156:ENSMUSG00000031725:ENSMUSG00000057074:ENSMUSG00000078964	
GRB7	1	ENSMUSG00000019312	
DHX8	1	ENSMUSG00000034931	
RRAD	1	ENSMUSG00000031880	
DHX9	1	ENSMUSG00000042699	
ZBTB1	1	ENSMUSG00000033454	
ZBTB5	1	ENSMUSG00000049657	
ZBTB4	1	ENSMUSG00000018750	
CFAP126	1	ENSMUSG00000026649	
ZBTB3	1	ENSMUSG00000071661	
ZBTB2	1	ENSMUSG00000075327	
PKHD1	1	ENSMUSG00000043760	
NEU2	1	ENSMUSG00000079434	
NEU3	1	ENSMUSG00000035239	
NKAIN1	1	ENSMUSG00000078532	
NKAIN4	1	ENSMUSG00000027574	
NEU4	1	ENSMUSG00000034000	
MRNIP	1	ENSMUSG00000020381	
RACGAP1	1	ENSMUSG00000023015	
RRAS	1	ENSMUSG00000038387	
NEU1	1	ENSMUSG00000007038	
KCNN1	1	ENSMUSG00000002908	
KCNN2	1	ENSMUSG00000054477	
KCNN3	1	ENSMUSG00000000794	
KCNN4	1	ENSMUSG00000054342	
H3C4	1	ENSMUSG00000069265	
SLC10A4	1	ENSMUSG00000029219	
BBS2	1	ENSMUSG00000031755	
NTNG1	1	ENSMUSG00000059857	
BBS1	1	ENSMUSG00000006464	
NTNG2	1	ENSMUSG00000035513	
SLC10A5	1	ENSMUSG00000058921	
XBP1	1	ENSMUSG00000020484	
YES1	1	ENSMUSG00000014932	
SLC10A7	1	ENSMUSG00000031684	
TRDV2	1	ENSMUSG00000076867	
SLC10A1	1	ENSMUSG00000021135	
TRDV3	1	ENSMUSG00000076873	
SLC10A2	1	ENSMUSG00000023073	
SLC10A3	1	ENSMUSG00000032806	
TRDV1	1	ENSMUSG00000076848	
SUCO	1	ENSMUSG00000040297	
IL36G	1	ENSMUSG00000044103	
CPLANE1	1	ENSMUSG00000039801	
CFAP119	1	ENSMUSG00000057176	
CPLANE2	1	ENSMUSG00000073733	
NET1	1	ENSMUSG00000021215	
PEX5L	1	ENSMUSG00000027674	
ZBTB6	1	ENSMUSG00000066798	
SPDYA	1	ENSMUSG00000052525	
OR4D11	1	ENSMUSG00000067529	
GRB2	1	ENSMUSG00000059923	
GRAP	1	ENSMUSG00000004837	
TFB1M	1	ENSMUSG00000036983	
MC4R	1	ENSMUSG00000047259	
C8G	1	ENSMUSG00000015083	
KCNT1	1	ENSMUSG00000058740	
KCNT2	1	ENSMUSG00000052726	
SUFU	1	ENSMUSG00000025231	
FCER1A	1	ENSMUSG00000005339	
BBS9	1	ENSMUSG00000035919	
BBS7	1	ENSMUSG00000037325	
BBS5	1	ENSMUSG00000063145	
BBS4	1	ENSMUSG00000025235	
PCYT1B	1	ENSMUSG00000035246	
ZHX2	1	ENSMUSG00000071757	
PCYT1A	1	ENSMUSG00000005615	
ZHX3	1	ENSMUSG00000035877	
FCER1G	1	ENSMUSG00000058715	
AGTRAP	1	ENSMUSG00000029007	
CACYBP	1	ENSMUSG00000014226	
TFB2M	1	ENSMUSG00000026492	
ZHX1	1	ENSMUSG00000022361	
RNF144A	1	ENSMUSG00000020642	
RNF144B	1	ENSMUSG00000038068	
KCNU1	1	ENSMUSG00000031576	
PITPNM1	1	ENSMUSG00000024851	
PITPNM3	1	ENSMUSG00000040543	
PITPNM2	1	ENSMUSG00000029406	
TAX1BP1	1	ENSMUSG00000004535	
FAM32A	1	ENSMUSG00000003039	
FAM193B	1	ENSMUSG00000021495	
TAX1BP3	1	ENSMUSG00000040158	
FAM193A	1	ENSMUSG00000037210	
KRT88P	1	ENSMUSG00000063971	
SSNA1	1	ENSMUSG00000026966	
NEXN	1	ENSMUSG00000039103	
PEX16	1	ENSMUSG00000027222	
PEX19	1	ENSMUSG00000003464	
KLHL2	1	ENSMUSG00000031605	
KLHL3	1	ENSMUSG00000014164	
PEX10	1	ENSMUSG00000029047	
KLHL4	1	ENSMUSG00000025597	
KCNRG	1	ENSMUSG00000046168	
PEX12	1	ENSMUSG00000018733	
CFAP157	1	ENSMUSG00000038987	
PEX13	1	ENSMUSG00000020283	
PEX14	1	ENSMUSG00000028975	
KLHL9	1	ENSMUSG00000070923	
ETAA1	1	ENSMUSG00000016984	
TFAP4	1	ENSMUSG00000005718	
KCNS1	1	ENSMUSG00000040164	
KLHL5	1	ENSMUSG00000054920	
KLHL6	1	ENSMUSG00000043008	
KCNS2	1	ENSMUSG00000050963	
KLHL7	1	ENSMUSG00000028986	
KCNS3	1	ENSMUSG00000043673	
CFAP161	1	ENSMUSG00000011154	
KLHL8	1	ENSMUSG00000029312	
SNORA58B	1	ENSMUSG00000077569	
INPPL1	1	ENSMUSG00000032737	
PLAT	1	ENSMUSG00000031538	
PLB1	1	ENSMUSG00000029134	
TXN2	1	ENSMUSG00000005354	
IGF1R	1	ENSMUSG00000005533	
PPIP5K1	1	ENSMUSG00000033526	
PLAU	1	ENSMUSG00000021822	
PPIP5K2	1	ENSMUSG00000040648	
ENPP2	1	ENSMUSG00000022425	
RXYLT1	1	ENSMUSG00000034620	
ENPP1	1	ENSMUSG00000037370	
ENPP4	1	ENSMUSG00000023961	
ENPP3	1	ENSMUSG00000019989	
ENPP6	1	ENSMUSG00000038173	
ENPP5	1	ENSMUSG00000023960	
CARD10	1	ENSMUSG00000033170	
ADAM11	1	ENSMUSG00000020926	
ADAM10	1	ENSMUSG00000054693	
DHDDS	1	ENSMUSG00000012117	
ADAM19	1	ENSMUSG00000011256	
ADAM18	1	ENSMUSG00000031552	
ADAM17	1	ENSMUSG00000052593	
BRMS1	1	ENSMUSG00000080268	
ADAM15	1	ENSMUSG00000028041	
CARD19	1	ENSMUSG00000037960	
ADAM12	1	ENSMUSG00000054555	
ADAM1A	1	ENSMUSG00000072647	
PLAA	1	ENSMUSG00000028577	
CARD14	1	ENSMUSG00000013483	
CARD11	1	ENSMUSG00000036526	
HTRA3	1	ENSMUSG00000029096	
HTRA4	1	ENSMUSG00000037406	
HTRA1	1	ENSMUSG00000006205	
PLD5	1	ENSMUSG00000055214	
DAPP1	1	ENSMUSG00000028159	
PLD4	1	ENSMUSG00000052160	
HTRA2	1	ENSMUSG00000068329	
PLD6	1	ENSMUSG00000043648	
PLD1	1	ENSMUSG00000027695	
PLD3	1	ENSMUSG00000003363	
PLD2	1	ENSMUSG00000020828	
GRK1	1	ENSMUSG00000031450	
NME1-NME2	1	ENSMUSG00000080002	
GRK3	1	ENSMUSG00000042249	
KCNV2	1	ENSMUSG00000047298	
GRK2	1	ENSMUSG00000024858	
GRK5	1	ENSMUSG00000003228	
GRK4	1	ENSMUSG00000052783	
ELDR	1	ENSMUSG00000087060	
GRK6	1	ENSMUSG00000074886	
PIBF1	1	ENSMUSG00000022064	
CHCHD10	1	ENSMUSG00000049422	
FAM199X	1	ENSMUSG00000042595	
IGF2R	1	ENSMUSG00000023830	
BSPRY	1	ENSMUSG00000028392	
SPINK13	1	ENSMUSG00000073551	
ZMYND15	1	ENSMUSG00000040829	
ZMYND19	1	ENSMUSG00000026974	
PLEK	1	ENSMUSG00000020120	
PITPNC1	1	ENSMUSG00000040430	
GRM2	1	ENSMUSG00000023192	
CA1	1	ENSMUSG00000027556	
GRM4	1	ENSMUSG00000063239	
CA3	1	ENSMUSG00000027559	
GRM6	1	ENSMUSG00000000617	
CA2	1	ENSMUSG00000027562	
CA4	1	ENSMUSG00000000805	
GRM8	1	ENSMUSG00000024211	
CA7	1	ENSMUSG00000031883	
MIR103A2	1	ENSMUSG00000065563	
CA6	1	ENSMUSG00000028972	
MYBL2	1	ENSMUSG00000017861	
CA9	1	ENSMUSG00000028463	
CA8	1	ENSMUSG00000041261	
MYBL1	1	ENSMUSG00000025912	
SUN3	1	ENSMUSG00000040985	
SUN2	1	ENSMUSG00000042524	
SUN1	1	ENSMUSG00000036817	
ATP6AP1	1	ENSMUSG00000019087	
CAD	1	ENSMUSG00000013629	
ATP6AP2	1	ENSMUSG00000031007	
HUNK	1	ENSMUSG00000053414	
ELF1	1	ENSMUSG00000036461	
CFAP100	1	ENSMUSG00000048794	
ELF2	1	ENSMUSG00000037174	
ELF3	1	ENSMUSG00000003051	
GFOD1	1	ENSMUSG00000051335	
ELF4	1	ENSMUSG00000031103	
ELF5	1	ENSMUSG00000027186	
GFOD2	1	ENSMUSG00000013150	
CAT	1	ENSMUSG00000027187	
SPATA31D1	3	ENSMUSG00000091311:ENSMUSG00000051054:ENSMUSG00000043986	
ZMYND10	1	ENSMUSG00000010044	
ZMYND11	1	ENSMUSG00000021156	
SHANK3	1	ENSMUSG00000022623	
ZMYND12	1	ENSMUSG00000070806	
SHANK2	1	ENSMUSG00000037541	
PLEC	1	ENSMUSG00000022565	
SHANK1	1	ENSMUSG00000038738	
RRN3	1	ENSMUSG00000022682	
CBL	1	ENSMUSG00000034342	
FBXL21P	1	ENSMUSG00000035509	
SV2C	1	ENSMUSG00000051111	
SV2B	1	ENSMUSG00000053025	
CBS	1	ENSMUSG00000024039	
SV2A	1	ENSMUSG00000038486	
TBX21	1	ENSMUSG00000001444	
CLVS1	1	ENSMUSG00000041216	
RRM1	1	ENSMUSG00000030978	
RRM2	1	ENSMUSG00000020649	
CCK	1	ENSMUSG00000032532	
HS3ST5	1	ENSMUSG00000044499	
HS3ST6	1	ENSMUSG00000039628	
SUOX	1	ENSMUSG00000049858	
HS3ST4	1	ENSMUSG00000078591	
TBX18	1	ENSMUSG00000032419	
HS3ST1	1	ENSMUSG00000051022	
CD2	1	ENSMUSG00000027863	
TBX15	1	ENSMUSG00000027868	
CD4	1	ENSMUSG00000023274	
CCS	1	ENSMUSG00000034108	
NOPCHAP1	1	ENSMUSG00000020255	
CD6	1	ENSMUSG00000024670	
CD5	1	ENSMUSG00000024669	
TBX10	1	ENSMUSG00000037477	
CD7	1	ENSMUSG00000025163	
CD9	1	ENSMUSG00000030342	
CDA	1	ENSMUSG00000028755	
VPS29	1	ENSMUSG00000029462	
FRMPD4	1	ENSMUSG00000049176	
CLEC10A	2	ENSMUSG00000000318:ENSMUSG00000040950	
FRMPD1	1	ENSMUSG00000035615	
RRP1	1	ENSMUSG00000061032	
GRPR	1	ENSMUSG00000031364	
ELK1	1	ENSMUSG00000009406	
RRP8	1	ENSMUSG00000030888	
ELK3	1	ENSMUSG00000008398	
RRP9	1	ENSMUSG00000041506	
ELK4	1	ENSMUSG00000026436	
ALCAM	1	ENSMUSG00000022636	
SCN11A	1	ENSMUSG00000034115	
VPS35	1	ENSMUSG00000031696	
VPS36	1	ENSMUSG00000031479	
VPS39	1	ENSMUSG00000027291	
VPS18	1	ENSMUSG00000034216	
CLEC11A	1	ENSMUSG00000004473	
HUS1	1	ENSMUSG00000020413	
CEL	1	ENSMUSG00000026818	
NUP93	1	ENSMUSG00000032939	
BCAN	1	ENSMUSG00000004892	
BCAM	1	ENSMUSG00000002980	
HECW2	1	ENSMUSG00000042807	
SRFBP1	1	ENSMUSG00000024528	
TARS2	1	ENSMUSG00000028107	
TARS3	1	ENSMUSG00000030515	
NUP98	1	ENSMUSG00000063550	
TARS1	1	ENSMUSG00000022241	
VPS25	1	ENSMUSG00000078656	
SNORA50C	1	ENSMUSG00000080540	
CFB	1	ENSMUSG00000090231	
CFD	1	ENSMUSG00000061780	
CFH	1	ENSMUSG00000026365	
CFI	1	ENSMUSG00000058952	
METTL25B	1	ENSMUSG00000004896	
CFP	1	ENSMUSG00000001128	
RRP7A	1	ENSMUSG00000018040	
NUP85	1	ENSMUSG00000020739	
ST3GAL4	1	ENSMUSG00000032038	
VPS11	1	ENSMUSG00000032127	
RRS1	1	ENSMUSG00000061024	
ST3GAL5	1	ENSMUSG00000056091	
ST3GAL6	1	ENSMUSG00000022747	
NUP88	1	ENSMUSG00000040667	
HOXA11-AS	1	ENSMUSG00000086427	
ST3GAL1	1	ENSMUSG00000013846	
ST3GAL2	1	ENSMUSG00000031749	
VPS16	1	ENSMUSG00000027411	
ST3GAL3	1	ENSMUSG00000028538	
PLK4	1	ENSMUSG00000025758	
C3orf18	1	ENSMUSG00000037977	
ARL14EP	1	ENSMUSG00000027122	
PLK3	1	ENSMUSG00000028680	
NFE2	1	ENSMUSG00000058794	
PLK5	1	ENSMUSG00000035486	
APOOL	1	ENSMUSG00000025525	
PLK2	1	ENSMUSG00000021701	
MCAM	1	ENSMUSG00000032135	
PLK1	1	ENSMUSG00000030867	
CGN	1	ENSMUSG00000068876	
C3orf14	1	ENSMUSG00000033111	
ELL2	1	ENSMUSG00000001542	
MCAT	1	ENSMUSG00000048755	
ELL3	1	ENSMUSG00000027246	
ZNF559-ZNF177	2	ENSMUSG00000078896:ENSMUSG00000074527	
GTF2IRD1	1	ENSMUSG00000023079	
APONP	1	ENSMUSG00000051716	
BPIFC	1	ENSMUSG00000050108	
RSPH10B	1	ENSMUSG00000075569	
MOCS2	1	ENSMUSG00000015536	
MOCS3	1	ENSMUSG00000074576	
STON1	1	ENSMUSG00000033855	
CHM	1	ENSMUSG00000025531	
STON2	1	ENSMUSG00000020961	
MCEE	1	ENSMUSG00000033429	
ELOA	1	ENSMUSG00000028668	
ELOB	1	ENSMUSG00000055839	
RRP12	1	ENSMUSG00000035049	
ELOC	1	ENSMUSG00000079658	
CIC	1	ENSMUSG00000005442	
RRP15	1	ENSMUSG00000001305	
ZIK1	1	ENSMUSG00000030393	
RPS6KL1	1	ENSMUSG00000019235	
EXOC8	1	ENSMUSG00000074030	
EXOC7	1	ENSMUSG00000020792	
PLLP	1	ENSMUSG00000031775	
ECRG4	1	ENSMUSG00000026051	
CIT	1	ENSMUSG00000029516	
PLIN4	1	ENSMUSG00000002831	
EXOC4	1	ENSMUSG00000029763	
PLIN3	1	ENSMUSG00000024197	
EXOC3	1	ENSMUSG00000034152	
PLIN2	1	ENSMUSG00000028494	
EXOC6	1	ENSMUSG00000053799	
EXOC5	1	ENSMUSG00000061244	
